feature_name,feature_type,country,ocean,population,latitude,longitude
Unknown River,River,China,,0,24.13230151492296,109.60226754072715
Unknown River,River,China,,0,24.88261206967439,109.31011885806885
Unknown River,River,Chad,,0,13.442204198477615,13.81483027688937
Unknown River,River,Niger,,0,13.116911883883787,12.130989863491596
Unknown River,River,Botswana,,0,-21.1006177037302,24.911677887580876
Unknown River,River,Tanzania,,0,-5.694295655872484,31.492040714838286
Unknown River,River,China,,0,49.03124511483233,124.84865621048051
Unknown River,River,Venezuela,,0,2.4193047735462456,-66.38835416051164
Unknown River,River,Brazil,,0,-29.571466132012763,-55.35587047398049
Unknown River,River,China,,0,37.49919376159665,110.27647966975697
Unknown River,River,China,,0,29.166544026288673,90.06529982721638
Unknown River,River,China,,0,40.812685281828,80.4370514325285
Unknown River,River,India,,0,27.989878072608487,96.43926503370263
Unknown River,River,Russia,,0,67.1061596974331,89.4413733783988
Unknown River,River,Russia,,0,54.2491032410461,132.84268369642675
Unknown River,River,Russia,,0,50.22742200794331,139.80469942682873
Unknown River,River,Russia,,0,49.94945320253608,142.9787069763935
Unknown River,River,Congo,,0,-3.8584108066739486,12.21691187983095
Unknown River,River,China,,0,31.425210574712654,118.12107373307995
Unknown River,River,Indonesia,,0,2.69993569913981,99.53911962420212
Unknown River,River,Papua New Guinea,,0,-7.388732867051398,141.47892503579922
Unknown River,River,Dem. Rep. Congo,,0,-2.8497924666755208,17.55694773192103
Unknown River,River,Somalia,,0,-0.0524594054746359,42.5797119140625
Unknown River,River,Zambia,,0,-11.298471186387193,28.855046289400615
Unknown River,River,Tanzania,,0,-5.162558257616627,30.273418740696325
Unknown River,River,China,,0,46.081568700652014,124.01236416261749
Unknown River,River,India,,0,11.009473887991723,79.21253563738655
Unknown River,River,Russia,,0,63.90046452998491,65.21324472865724
Unknown River,River,Russia,,0,72.8778614728006,125.65312527742087
Unknown River,River,India,,0,33.69137549681118,74.01148137493031
Unknown River,River,Pakistan,,0,33.199619374540845,73.55933698377426
Unknown River,River,Russia,,0,66.83529351235079,71.05576501783877
Unknown River,River,Bolivia,,0,-13.557547660229378,-61.74697184332095
Unknown River,River,Suriname,,0,4.09509554540048,-57.44171806805148
Unknown River,River,Russia,,0,59.03531828471449,103.77656944163428
Unknown River,River,Nigeria,,0,9.628611766660134,5.925704308966412
Unknown River,River,Benin,,0,6.417994768140302,2.5480247889239136
Unknown River,River,Benin,,0,8.251528526617378,2.376901245931372
Unknown River,River,Côte d'Ivoire,,0,8.180472632407493,-4.0877415448230465
Unknown River,River,Russia,,0,56.468857068796204,88.85091607759207
Unknown River,River,Russia,,0,73.64129120314107,96.11052769647213
Unknown River,River,Russia,,0,55.751325739219375,114.35308873209208
Unknown River,River,China,,0,29.609376130947037,118.95391395561921
Unknown River,River,China,,0,29.757117626441705,119.06649710310178
Unknown River,River,Thailand,,0,14.7301221939672,99.0669642849108
Unknown River,River,Thailand,,0,14.661408753905242,99.29235347915193
Unknown River,River,Thailand,,0,17.923322684202297,100.52133854639592
Unknown River,River,Thailand,,0,17.702342398726536,100.51306725223768
Unknown River,River,Angola,,0,-17.19714807890615,14.633034116550322
Unknown River,River,Angola,,0,-16.10547826651152,14.389466561879598
Unknown River,River,Uruguay,,0,-32.694165042659066,-56.1008213648418
Unknown River,River,Uruguay,,0,-32.60210513109827,-56.20369882482754
Unknown River,River,Brazil,,0,-23.04993680525719,-49.976076197803806
Unknown River,River,Brazil,,0,-23.028501486793182,-50.5943986139594
Unknown River,River,Kenya,,0,-0.839145608385145,37.5333441164764
Unknown River,River,Kenya,,0,-0.8558691596028493,39.00320254813758
Unknown River,River,Dem. Rep. Congo,,0,-4.392478749136154,29.377247688155936
Unknown River,River,Dem. Rep. Congo,,0,-2.890009493916889,29.071814633691638
Unknown River,River,India,,0,12.124328927356226,77.27577792588376
Unknown River,River,India,,0,11.527802064374658,77.92853356106262
Unknown River,River,India,,0,24.544327146225864,75.50724551041597
Unknown River,River,India,,0,25.320948106633924,76.75056375295523
Unknown River,River,Russia,,0,54.40121133833475,128.14570915928763
Unknown River,River,Russia,,0,52.869925183197324,128.60750804305934
Unknown River,River,Tanzania,,0,-3.6834760086468132,37.404708719904896
Unknown River,River,Tanzania,,0,-4.631176566234116,38.018822946148916
Unknown River,River,Venezuela,,0,7.2942012084006125,-62.874119045608964
Unknown River,River,Venezuela,,0,5.670308457685413,-62.244353326995316
Unknown River,River,Côte d'Ivoire,,0,7.355403263614742,-5.561062314655092
Unknown River,River,Côte d'Ivoire,,0,6.076023326765697,-5.089744652791894
Unknown River,River,China,,0,33.078053199792514,118.64743914058694
Unknown River,River,China,,0,32.73873062275309,117.7313658954323
Unknown River,River,Thailand,,0,17.304395093140403,98.9175833369558
Unknown River,River,Thailand,,0,17.654350940072344,99.10689829418934
Unknown River,River,Kazakhstan,,0,43.84973292208161,77.65393355954356
Unknown River,River,Kazakhstan,,0,44.368150367795074,77.81746160931463
Unknown River,River,China,,0,40.269553374423,115.58418073589849
Unknown River,River,China,,0,39.92012168292634,113.88654146790532
Unknown River,River,China,,0,40.87178950732482,108.79288389991446
Unknown River,River,China,,0,40.97543765840768,107.79293496360826
Unknown River,River,Brazil,,0,-1.5343497474502086,-56.198242863277905
Unknown River,River,Brazil,,0,0.2399058544366509,-57.11064866347613
Unknown River,River,Russia,,0,74.70928420312784,100.35425288347945
Unknown River,River,Russia,,0,75.49561509404283,99.58554765322893
Unknown River,River,Senegal,,0,12.918991241613423,-13.313321011714674
Unknown River,River,Venezuela,,0,7.719908058665311,-70.05700187138999
Unknown River,River,Brazil,,0,0.596602246221071,-53.36307084105793
Unknown River,River,Peru,,0,-1.6792951118314308,-75.13268699580003
Unknown River,River,Brazil,,0,-6.425341967170673,-69.57983447766313
Unknown River,River,Brazil,,0,-6.418127451556151,-43.91366978871595
Unknown River,River,Côte d'Ivoire,,0,9.042472526785296,-5.537646593976764
Unknown River,River,Central African Rep.,,0,4.954782772245741,24.782657087549126
Unknown River,River,Cameroon,,0,5.728190908615035,11.511529846793533
Unknown River,River,Gabon,,0,1.9247753275357184,13.03598279982739
Unknown River,River,Angola,,0,-10.724346642482885,16.137888889060342
Unknown River,River,Angola,,0,-15.766751937659272,21.46390074528984
Unknown River,River,South Africa,,0,-24.36445832759101,26.67050992797176
Unknown River,River,Tanzania,,0,-9.66748600088848,36.54217100249349
Unknown River,River,Ethiopia,,0,7.067440946810402,34.43925043164736
Unknown River,River,Nepal,,0,27.997121161205055,82.04558086578143
Unknown River,River,Myanmar,,0,24.550651516328983,95.34992197797033
Unknown River,River,Vietnam,,0,12.577879495193814,107.85184575109226
Unknown River,River,China,,0,27.69395670909904,107.04340957747011
Unknown River,River,China,,0,27.094808928190737,112.2742131440999
Unknown River,River,China,,0,32.3944249797462,115.09190651329655
Unknown River,River,Russia,,0,51.27770330126964,113.00248934376658
Unknown River,River,Russia,,0,56.80021614402374,120.62687301332893
Unknown River,River,China,,0,43.459772715245926,83.37899949666206
Unknown River,River,Russia,,0,66.87335988882772,133.4096291934945
Unknown River,River,Russia,,0,65.46564396795287,159.42046234134662
Unknown River,River,Nepal,,0,27.24364606865916,86.9350465190435
Unknown River,River,China,,0,26.839800849571432,118.04327705866993
Unknown River,River,Mozambique,,0,-14.207197702486907,38.2598537880932
Unknown River,River,Bolivia,,0,-13.9434343606078,-67.07385472288796
Unknown River,River,Dem. Rep. Congo,,0,1.3513508632052809,28.65148332791008
Unknown River,River,Madagascar,,0,-17.67106384964845,46.96636308871848
Unknown River,River,Guyana,,0,2.927501678210786,-57.201407075166486
Unknown River,River,Zimbabwe,,0,-16.96185517677708,32.42474912912565
Unknown River,River,Cambodia,,0,13.822918431328091,103.66454583754155
Unknown River,River,Peru,,0,-4.438813128909434,-80.16164074889166
Unknown River,River,Bhutan,,0,27.17957486523379,91.31690484797545
Unknown River,River,Laos,,0,21.33128624385015,102.31467724750206
Unknown River,River,Papua New Guinea,,0,-6.905088249555801,141.38741022727152
Unknown River,River,Central African Rep.,,0,6.631992410704767,22.526372701454896
Unknown River,River,South Africa,,0,-32.720542274661625,22.176726247661115
Unknown River,River,Iran,,0,37.60903701313964,56.356582930907074
Unknown River,River,China,,0,37.46353665530487,99.04817302458311
Unknown River,River,Russia,,0,69.04833960738091,101.28464592485507
Unknown River,River,Kazakhstan,,0,51.60292029313296,68.66915661824427
Unknown River,River,Russia,,0,65.02594550326151,76.71066248018872
